Name of Company,Market Cap (in Cr),Quaterly Sales (in Cr)
Natco Pharma,14456.9,562.2
PC Jeweller,14334.81,2644.89
Quess Corp,14330.19,1583.95
CRISIL,14164.81,441.13
WABCO India,13843.64,649.91
Amara Raja Batt.,13774.32,1553.46
Sterlite Tech.,13743.95,835.18
AIA Engg.,13593.35,572.16
KRBL,13492.55,783.51
Max Financial,13401.76,1137.17
Indiabulls Vent.,13396.15,238.43
Century Textiles,13369.97,2069.39
Jubilant Food.,13178.43,795.17
Bayer Crop Sci.,13166.76,479.7
Graphite India,13129.9,933.06
JSW Energy,13104.0,1993.2
Central Bank,13046.18,6026.55
Natl. Aluminium,9885.05,1137.17
CESC,12996.56,1706.0
Shri.City Union.,12995.31,1338.09
L&T Technology,12942.25,969.1
Rain Industries,12655.17,3050.81
Torrent Power,12599.37,2754.64
Dilip Buildcon,12526.06,1942.12
TI Financial,12507.91,886.68
JM Financial,12382.64,837.73
Adani Power,12091.5,4844.46
Reliance Power,12033.99,2494.65
Reliance Capital,11966.83,4749.0
Syngene Intl.,11950.0,387.7
Abbott India,11924.12,881.49
Hatsun AgroProd.,11896.52,1012.94
Symphony,11882.55,217.63
Gujarat Gas,11759.77,1571.33
Reliance Infra.,11737.24,5861.04
Aditya Bir. Fas.,11718.17,1855.0
Ajanta Pharma,11651.8,587.05
P I Inds.,11564.22,537.74
City Union Bank,11554.4,865.36
Varun Beverages,11498.3,329.92
Mindtree,11438.78,1377.7
Prestige Estates,11353.13,1272.3
Future Consumer,11203.15,784.05
Sundram Fasten.,11202.53,848.13
Sanofi India,11182.45,667.5
Guj.St.Petronet,11064.74,350.18
Godrej Agrovet,10918.75,865.77
Finolex Cables,10900.75,656.78
Bombay Burmah,10864.53,1137.17
SRF,10842.62,1397.06
GE T&D India,10778.42,1438.55
Alembic Pharma,10764.29,840.02
SPARC,10755.13,19.42
GMR Infra.,10653.44,2072.29
HEG,10630.76,842.71
Trent,10589.27,521.32
Engineers India,10565.56,473.42
Avanti Feeds,10558.13,706.43
Pfizer,10508.48,456.54
Escorts,10450.56,1205.03
Tata Motors-DVR,10442.09,7769.67
Blue Dart Exp.,10422.45,704.59
Indbull.RealEst.,10338.4,2100.13
ERIS Lifescience,10289.81,182.21
Arvind Ltd,10247.7,2705.75
Sundaram Clayton,10074.36,1137.17
Hexaware Tech.,9885.05,1004.83
Mahanagar Gas,9885.05,1137.17
SKF India,9569.14,700.49
Delta Corp,9531.57,162.17
Union Bank (I),9528.82,8260.47
TV18 Broadcast,9463.27,271.13
Minda Inds.,9457.04,1056.16
Solar Inds.,9317.76,465.68
Kajaria Ceramics,9306.54,661.16
Astral Poly,9162.14,528.54
Bata India,9145.38,674.0
Phoenix Mills,9097.33,416.61
BASF India,8778.35,1278.74
DCM Shriram,8681.95,1783.73
Infibeam Incorp.,8646.54,213.48
Aegis Logistics,8613.86,1442.08
Mahindra CIE,8587.04,1137.17
Jet Airways,8539.88,6086.2
SpiceJet,8458.24,2081.95
Thomas Cook (I),8440.65,3005.45
Guj Fluorochem,8439.77,968.97
Wockhardt,8428.58,1005.3
Akzo Nobel,8389.47,711.99
IDFC,8380.86,2789.58
Security & Intel,8247.08,1537.72
Asahi India Glas,8183.96,640.38
TTK Prestige,8153.33,457.97
ITI,8124.6,250.97
Karur Vysya Bank,8065.7,1422.32
Vardhman Textile,8023.74,1647.98
Fortis Health.,7966.43,1156.61
Ipca Labs.,7943.03,859.21
Sheela Foam,7815.74,532.21
IRB Infra.Devl.,7812.73,1296.19
Atul,7789.01,803.68
Finolex Inds.,7784.17,722.72
Dish TV,7765.91,740.77
Rel. Comm.,7702.01,1144.0
Dr Lal Pathlabs,7550.78,262.7
OCL India,7453.05,859.24
NCC,7439.01,2780.26
Relaxo Footwear,7251.91,457.5
J K Cements,7230.76,1126.11
GNFC,7208.38,1590.89
Cochin Shipyard,7154.99,615.04
Bajaj Corp,9885.05,1137.17
Birla Corpn.,7137.67,1389.32
Future Lifestyle,7009.13,1188.97
Century Ply.,6966.23,509.93
Blue Star,6952.99,981.3
Kalpataru Power,6950.23,1417.37
Suzlon Energy,6942.31,1193.06
Cyient,6921.97,983.3
Hind.Copper,6902.14,440.14
Guj Pipavav Port,6864.85,162.68
Carborundum Uni.,6838.18,611.59
Can Fin Homes,6811.5,392.1
Sadbhav Engg.,6795.06,2153.34
Advanta,6742.41,361.68
Capital First,6710.63,987.64
Lak. Mach. Works,6654.81,542.42
Himadri Specialt,6646.41,500.08
Coffee Day Enter,6601.62,965.3
PVR,6591.31,557.25
Chambal Fert.,6542.79,2330.1
Vijaya Bank,6531.58,3135.23
Welspun India,6520.67,1397.95
CEAT,6476.26,1574.15
Strides Shasun,6469.51,749.04
Narayana Hrudaya,6379.12,553.84
Jyothy Lab.,6324.62,431.21
Johnson Con. Hit,6209.11,377.4
Prism Cement,6176.23,1137.17
Tata Elxsi,6153.54,345.54
Syndicate Bank,6086.37,5375.57
D B Corp,6059.97,598.58
Jain Irrigation,6019.89,1889.63
Persistent Sys,5996.4,791.89
Redington India,5896.54,11728.4
Sunteck Realty,5865.04,201.5
Raymond,5863.1,1484.24
MOIL,5840.29,299.8
Bombay Dyeing,5823.25,619.93
GE Shipping Co,5802.66,584.42
Grindwell Norton,5706.51,365.42
EID Parry,5652.33,3557.94
IOB,5591.02,4254.68
Galaxy Surfact.,5567.11,826.95
Laurus Labs,5502.94,473.77
Guj Alkalies,5498.45,617.61
GE Power,5497.4,1137.17
Timken India,5495.76,278.58
CPCL,5427.82,8587.17
Dishman Carbogen,5416.39,459.82
St Bk of Bikaner,5402.95,2262.28
ISGEC Heavy,9885.05,1137.17
MMTC,5300.0,1137.17
IFB Inds.,5293.53,531.74
